timestamp,elapsed_s,cpu_usage_percent,soc_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 22:24:57,1,2.0,45.8,700.0,18.5
2026-07-27 22:24:58,2,2.3,44.8,600.0,18.5
2026-07-27 22:24:59,3,3.7,45.8,600.0,18.5
2026-07-27 22:25:00,4,3.5,45.3,600.0,18.5
2026-07-27 22:25:01,5,1.9,45.3,600.0,18.5
2026-07-27 22:25:02,6,3.5,45.3,600.0,18.5
2026-07-27 22:25:04,8,3.5,45.8,600.0,18.5
2026-07-27 22:25:05,9,3.5,45.3,1800.0,18.5
2026-07-27 22:25:06,10,1.2,45.3,1800.0,18.6
2026-07-27 22:25:07,11,1.4,46.3,1800.0,18.6
2026-07-27 22:25:08,12,1.5,44.8,1800.0,18.6
2026-07-27 22:25:09,13,1.0,46.3,1800.0,18.6
2026-07-27 22:25:10,14,2.2,45.8,600.0,18.6
2026-07-27 22:25:11,15,3.2,44.8,1800.0,18.6
2026-07-27 22:25:12,16,1.0,45.8,1800.0,18.7
2026-07-27 22:25:13,17,1.7,45.8,1800.0,18.7
2026-07-27 22:25:14,18,1.5,46.3,1800.0,18.7
2026-07-27 22:25:15,19,1.0,46.7,1800.0,18.7
2026-07-27 22:25:16,20,1.4,46.7,700.0,18.7
2026-07-27 22:25:17,21,3.3,45.8,600.0,18.6
2026-07-27 22:25:18,22,2.3,46.3,600.0,18.7
2026-07-27 22:25:19,23,3.2,45.3,600.0,18.7
2026-07-27 22:25:20,24,3.5,45.3,1800.0,18.7
2026-07-27 22:25:21,25,1.7,46.7,1800.0,18.7
2026-07-27 22:25:22,26,0.7,45.8,1800.0,18.7
2026-07-27 22:25:24,28,1.2,46.3,1800.0,18.7
2026-07-27 22:25:25,29,1.2,46.7,1800.0,18.7
2026-07-27 22:25:26,30,1.2,45.8,700.0,18.7
2026-07-27 22:25:27,31,3.0,44.8,700.0,18.7
2026-07-27 22:25:28,32,3.5,45.3,600.0,18.7
2026-07-27 22:25:29,33,2.1,45.8,600.0,18.6
2026-07-27 22:25:30,34,3.2,45.8,600.0,18.6
2026-07-27 22:25:31,35,3.9,44.8,700.0,18.6
2026-07-27 22:25:32,36,2.1,45.3,600.0,18.6
2026-07-27 22:25:33,37,3.0,45.8,600.0,18.6
2026-07-27 22:25:34,38,3.5,45.3,700.0,18.6
2026-07-27 22:25:35,39,66.0,49.2,1800.0,19.2
2026-07-27 22:25:36,40,100.0,52.6,1800.0,19.2
2026-07-27 22:25:37,41,100.0,53.6,1800.0,19.2
2026-07-27 22:25:39,43,100.0,55.5,1800.0,19.2
2026-07-27 22:25:40,44,100.0,56.0,1800.0,19.2
2026-07-27 22:25:41,45,100.0,57.9,1800.0,19.2
2026-07-27 22:25:42,46,100.0,57.9,1800.0,19.2
2026-07-27 22:25:43,47,100.0,58.4,1800.0,19.2
2026-07-27 22:25:44,48,100.0,59.9,1800.0,19.2
2026-07-27 22:25:45,49,100.0,60.9,1800.0,19.2
2026-07-27 22:25:46,50,100.0,60.4,1800.0,19.3
2026-07-27 22:25:47,51,100.0,60.9,1800.0,19.3
2026-07-27 22:25:48,52,100.0,62.3,1800.0,19.2
2026-07-27 22:25:49,53,100.0,63.3,1800.0,19.2
2026-07-27 22:25:50,54,100.0,62.8,1800.0,19.2
2026-07-27 22:25:51,55,100.0,63.8,1800.0,19.2
2026-07-27 22:25:53,57,100.0,63.3,1800.0,19.2
2026-07-27 22:25:54,58,100.0,64.3,1800.0,19.2
2026-07-27 22:25:55,59,100.0,64.3,1800.0,19.3
2026-07-27 22:25:56,60,100.0,65.7,1800.0,19.3
2026-07-27 22:25:57,61,100.0,64.8,1800.0,19.2
2026-07-27 22:25:58,62,100.0,64.8,1800.0,19.2
2026-07-27 22:25:59,63,100.0,65.2,1800.0,19.2
2026-07-27 22:26:00,64,100.0,66.2,1800.0,19.2
2026-07-27 22:26:01,65,100.0,66.2,1800.0,19.2
2026-07-27 22:26:02,66,100.0,65.7,1800.0,19.2
2026-07-27 22:26:03,67,100.0,66.2,1800.0,19.2
2026-07-27 22:26:04,68,100.0,67.2,1800.0,19.2
2026-07-27 22:26:06,70,100.0,67.7,1800.0,19.2
2026-07-27 22:26:07,71,100.0,66.7,1800.0,19.2
2026-07-27 22:26:08,72,100.0,67.2,1800.0,19.2
2026-07-27 22:26:09,73,100.0,66.7,1800.0,19.2
2026-07-27 22:26:10,74,100.0,67.7,1800.0,19.2
2026-07-27 22:26:11,75,100.0,68.7,1800.0,19.3
2026-07-27 22:26:12,76,100.0,68.2,1800.0,19.3
2026-07-27 22:26:13,77,100.0,68.7,1800.0,19.3
2026-07-27 22:26:14,78,100.0,68.2,1800.0,19.3
2026-07-27 22:26:15,79,100.0,68.2,1800.0,19.3
2026-07-27 22:26:16,80,100.0,67.7,1800.0,19.3
2026-07-27 22:26:17,81,100.0,70.1,1800.0,19.3
2026-07-27 22:26:18,82,100.0,69.1,1800.0,19.3
2026-07-27 22:26:20,84,100.0,69.6,1800.0,19.3
2026-07-27 22:26:21,85,100.0,69.1,1800.0,19.3
2026-07-27 22:26:22,86,100.0,69.1,1800.0,19.3
