label,path,trusted_mae_c,trusted_rmse_c,soc_rmse_c,peak_error_c,hotspot_error_px,full_rmse_c,iou_90,iou_95
SoC+gradient+cold,benchmark\results\v31_pi4b_corrected_fullgpu_pmic_k3_t24_600\test_predictions.npz,1.766147494316101,2.364931583404541,0.5915443301200867,0.3615293502807617,4.021093855595946,2.911393642425537,0.7984981226533167,0.8300536672629696
SoC+PMIC+cold,benchmark\results\v31_corrected_gpu_k3_soc_pmic_cold_t24_600\test_predictions.npz,1.923880696296692,2.59435772895813,0.5381364226341248,0.14402532577514648,2.6995442064798367,2.867354393005371,0.8395225464190982,0.7977941176470589
SoC+USB+cold,benchmark\results\v31_corrected_gpu_k3_soc_usb_cold_t24_600\test_predictions.npz,1.5777738094329834,2.237961530685425,0.5478945970535278,0.18533802032470703,4.252105812766601,3.268296957015991,0.79375,0.7972270363951474
SoC+USB+PMIC,benchmark\results\v31_corrected_gpu_k3_soc_usb_pmic_t24_600\test_predictions.npz,1.5598169565200806,2.348092794418335,0.7866616249084473,0.7909135818481445,4.3598428896711265,2.971433401107788,0.8335724533715926,0.6857142857142857
SoC+gradient+USB,benchmark\results\v31_corrected_gpu_k3_soc_gradient_usb_t24_600\test_predictions.npz,1.5034629106521606,2.217902183532715,0.7949979901313782,0.3229657808939616,3.4781143826492276,2.9033098220825195,0.832425068119891,0.6981481481481482
gradient+USB+cold (no SoC),benchmark\results\v31_corrected_gpu_k3_no_soc_t24_600\test_predictions.npz,1.6418116092681885,2.202824354171753,1.5512224435806274,2.0056166648864746,3.769314734811623,3.356280565261841,0.7710843373493976,0.8188034188034188
